8.0625	1.99996	1.44782e-009	0.499417
8.125	1.99996	1.38022e-009	0.49698
8.1875	1.99997	1.31682e-009	0.494559
8.25	1.99997	1.25732e-009	0.492155
8.3125	1.99997	1.20143e-009	0.489767
8.375	1.99997	1.1489e-009	0.487396
8.4375	1.99997	1.0995e-009	0.485041
8.5	1.99998	1.05299e-009	0.482702
8.5625	1.99998	1.00919e-009	0.480378
8.625	1.99998	9.67902e-010	0.478071
8.6875	1.99998	9.28962e-010	0.47578
8.75	1.99998	8.9221e-010	0.473504
8.8125	1.99998	8.57502e-010	0.471244
8.875	1.99998	8.24703e-010	0.468999
8.9375	1.99998	7.93689e-010	0.466769
9	1.99999	7.64344e-010	0.464555
9.0625	1.99999	7.36562e-010	0.462356
9.125	1.99999	7.10244e-010	0.460172
9.1875	1.99999	6.85299e-010	0.458003
9.25	1.99999	6.61641e-010	0.455849
9.3125	1.99999	6.39191e-010	0.453709
9.375	1.99999	6.17877e-010	0.451584
9.4375	1.99999	5.97629e-010	0.449474
9.5	1.99999	5.78384e-010	0.447378
9.5625	1.99999	5.60083e-010	0.445296
9.625	1.99999	5.42671e-010	0.443229
9.6875	1.99999	5.26095e-010	0.441175
9.75	1.99999	5.10309e-010	0.439136
9.8125	1.99999	4.95268e-010	0.437111
9.875	1.99999	4.80929e-010	0.435099
9.9375	1.99999	4.67253e-010	0.433101
10	1.99999	4.54204e-010	0.431117
10.0625	2	4.41748e-010	0.429147
10.125	2	4.29852e-010	0.42719
10.1875	2	4.18486e-010	0.425246
10.25	2	4.07622e-010	0.423316
10.3125	2	3.97235e-010	0.421399
10.375	2	3.87298e-010	0.419494
10.4375	2	3.77789e-010	0.417603
10.5	2	3.68686e-010	0.415725
10.5625	2	3.59967e-010	0.41386
10.625	2	3.51615e-010	0.412007
10.6875	2	3.43611e-010	0.410168
10.75	2	3.35937e-010	0.40834
10.8125	2	3.28578e-010	0.406525
10.875	2	3.21518e-010	0.404723
10.9375	2	3.14743e-010	0.402933
11	2	3.08239e-010	0.401155
11.0625	2	3.01994e-010	0.399389
11.125	2	2.95995e-010	0.397636
11.1875	2	2.90232e-010	0.395894
11.25	2	2.84694e-010	0.394164
11.3125	2	2.79369e-010	0.392446
11.375	2	2.7425e-010	0.39074
11.4375	2	2.69326e-010	0.389046
11.5	2	2.64589e-010	0.387363
11.5625	2	2.60031e-010	0.385691
11.625	2	2.55644e-010	0.384031
11.6875	2	2.51422e-010	0.382383
11.75	2	2.47356e-010	0.380745
11.8125	2	2.4344e-010	0.379119
11.875	2	2.39668e-010	0.377504
11.9375	2	2.36035e-010	0.3759
12	2	2.32534e-010	0.374307
12.0625	2	2.29161e-010	0.372725
12.125	2	2.25909e-010	0.371153
12.1875	2	2.22775e-010	0.369593
12.25	2	2.19754e-010	0.368043
12.3125	2	2.16841e-010	0.366503
12.375	2	2.14032e-010	0.364975
12.4375	2	2.11323e-010	0.363456
12.5	2	2.0871e-010	0.361948
12.5625	2	2.06191e-010	0.360451
12.625	2	2.03761e-010	0.358963
12.6875	2	2.01417e-010	0.357486
12.75	2	1.99156e-010	0.356019
12.8125	2	1.96975e-010	0.354561
12.875	2	1.94871e-010	0.353114
12.9375	2	1.92842e-010	0.351677
13	2	1.90885e-010	0.35025
13.0625	2	1.88998e-010	0.348832
13.125	2	1.87177e-010	0.347424
13.1875	2	1.85421e-010	0.346025
13.25	2	1.83728e-010	0.344637
13.3125	2	1.82096e-010	0.343257
13.375	2	1.80523e-010	0.341887
13.4375	2	1.79006e-010	0.340527
13.5	2	1.77544e-010	0.339175
13.5625	2	1.76136e-010	0.337833
13.625	2	1.74779e-010	0.336501
13.6875	2	1.73472e-010	0.335177
13.75	2	1.72214e-010	0.333862
13.8125	2	1.71003e-010	0.332556
13.875	2	1.69837e-010	0.33126
13.9375	2	1.68716e-010	0.329972
14	2	1.67638e-010	0.328693
14.0625	2	1.66602e-010	0.327422
14.125	2	1.65607e-010	0.326161
14.1875	2	1.64651e-010	0.324908
14.25	2	1.63734e-010	0.323663
14.3125	2	1.62854e-010	0.322427
14.375	2	1.6201e-010	0.3212
14.4375	2	1.61203e-010	0.31998
14.5	2	1.60429e-010	0.31877
14.5625	2	1.5969e-010	0.317567
14.625	2	1.58983e-010	0.316373
14.6875	2	1.58308e-010	0.315187
14.75	2	1.57665e-010	0.314009
14.8125	2	1.57052e-010	0.312839
14.875	2	1.56469e-010	0.311677
14.9375	2	1.55915e-010	0.310523
15	2	1.5539e-010	0.309376
15.0625	2	1.54892e-010	0.308238
15.125	2	1.54422e-010	0.307108
15.1875	2	1.53978e-010	0.305985
15.25	2	1.5356e-010	0.30487
15.3125	2	1.53167e-010	0.303762
